Hero|2025-05-03 15:52:08|null|0|0|0
Hero|2025-05-03 16:02:31|null|0|0|0
Hero|2025-05-03 16:05:45|null|0|0|0
Hero|2025-05-03 16:24:36|null|0|0|0
Amrit|2025-05-03 16:28:20|null|0|0|0
Amrit|2025-05-03 16:44:20|2025-05-03 16:45:13|0|20|0
Amrit|2025-05-03 16:52:20|2025-05-03 16:52:24|0|-20|0
Amrit|2025-05-03 16:57:04|2025-05-03 16:59:01|1|0|0
Amrit|2025-05-03 22:28:28|2025-05-03 22:29:51|1|10|0
Amrit|03-05-2025 22:41:05|03-05-2025 22:42:05|1|0|0
Amrit|03-05-2025 22:44:11|03-05-2025 22:59:32|15|-10|0
Amrit|04-05-2025 01:46:36|04-05-2025 01:49:41|3|0|0
Amrit|04-05-2025 01:50:01|null|0|0|0
Amrit|04-05-2025 02:05:38|04-05-2025 02:08:10|2|70|0
